17 f2 0 0 fd 0 f9 
18 6 0 0 ec 0 f5 
18 6 0 0 ec 0 f5 
19 c 0 0 cd 0 d 
1a 6 0 0 f2 0 ed 
1b 6 0 0 d8 0 6 
1c 6 0 0 ec 0 f1 
1c 6 0 0 d6 0 7 
1d 6 0 0 ed 0 ef 
1e 6 0 0 f1 0 ea 
1f 6 0 0 ea 0 f0 
1f 6 0 0 ec 0 ee 
20 6 0 0 d5 0 4 
21 6 0 0 d6 0 2 
22 6 0 0 ec 0 eb 
23 6 0 0 f1 0 e5 
23 6 0 0 ec 0 ea 
24 6 0 0 d5 0 0 
25 6 0 0 ea 0 ea 
26 6 0 0 d9 0 fa 
27 6 0 0 ec 0 e6 
27 6 0 0 d5 0 fd 
28 6 0 0 ec 0 e5 
29 6 0 0 f2 0 de 
2a 6 0 0 d6 0 f9 
2a 6 0 0 f0 0 df 
2b 6 0 0 e9 0 e5 
2c 6 0 0 f4 0 d9 
2d 6 0 0 d6 0 f6 
2e 6 0 0 d6 0 f5 
2e 6 0 0 f2 0 d9 
2f 6 0 0 d8 0 f2 
30 6 0 0 d6 0 f3 
31 6 0 0 d7 0 f1 
32 6 0 0 ed 0 da 
32 6 0 0 d4 0 f3 
33 6 0 0 d6 0 f0 
34 6 0 0 f1 0 d4 
35 6 0 0 d9 0 eb 
35 6 0 0 d4 0 f0 
36 7 0 0 1a 0 a8 
37 6 0 0 db 0 e7 
38 6 0 0 d7 0 ea 
39 7 0 0 8a 0 35 
39 6 0 0 d6 0 ea 
3a 6 0 0 ec 0 d3 
3b c 0 0 cf 0 e9 
3c 6 0 0 f4 0 c9 
3d 6 0 0 ec 0 d0 
3d 6 0 0 d6 0 e6 
3e 6 0 0 ec 0 cf 
3f 6 0 0 d8 0 e2 
40 6 0 0 d8 0 e1 
41 6 0 0 d6 0 e2 
41 6 0 0 d6 0 e2 
42 6 0 0 eb 0 cc 
43 6 0 0 ef 0 c7 
44 6 0 0 ed 0 c8 
44 6 0 0 ec 0 c9 
45 6 0 0 f4 0 c0 
46 6 0 0 f2 0 c1 
47 6 0 0 d5 0 dd 
48 6 0 0 ee 0 c3 
48 6 0 0 d8 0 d9 
49 6 0 0 d8 0 d8 
4a 6 0 0 d6 0 d9 
4b 6 0 0 f1 0 bd 
4c 6 0 0 ea 0 c3 
4c 6 0 0 ea 0 c3 
4d 6 0 0 d7 0 d5 
4e 6 0 0 ec 0 bf 
4f 6 0 0 d7 0 d3 
4f 6 0 0 e8 0 c2 
50 6 0 0 ed 0 bc 
51 6 0 0 ed 0 bb 
52 6 0 0 ef 0 b8 
53 6 0 0 f2 0 b4 
53 6 0 0 ec 0 ba 
54 6 0 0 ed 0 b8 
55 6 0 0 e9 0 bb 
56 6 0 0 d4 0 cf 
57 6 0 0 ec 0 b6 
57 6 0 0 f2 0 b0 
58 6 0 0 d6 0 cb 
59 6 0 0 ed 0 b3 
5a 6 0 0 d5 0 ca 
5b 6 0 0 ec 0 b2 
5b 6 0 0 d8 0 c6 
5c 6 0 0 ea 0 b3 
5d 6 0 0 f2 0 aa 
5e 6 0 0 d6 0 c5 
5e 6 0 0 ec 0 af 
5f 6 0 0 ed 0 ad 
60 6 0 0 ec 0 ad 
61 6 0 0 d8 0 c0 
62 9 0 0 3b 0 59 
62 6 0 0 d6 0 c1 
63 6 0 0 ec 0 aa 
64 d 0 0 5 0 89 
65 6 0 0 e8 0 ac 
66 6 0 0 d5 0 be 
66 6 0 0 ed 0 a6 
67 6 0 0 ef 0 a3 
68 6 0 0 f2 0 9f 
69 6 0 0 ed 0 a3 
69 6 0 0 f4 0 9c 
6a 6 0 0 eb 0 a4 
6b 6 0 0 f3 0 9b 
6c 6 0 0 ef 0 9e 
6d 6 0 0 ec 0 a0 
6d 6 0 0 ec 0 a0 
6e 6 0 0 d6 0 b5 
6f 6 0 0 f1 0 99 
70 6 0 0 ed 0 9c 
71 6 0 0 d5 0 b3 
71 6 0 0 d8 0 b0 
72 6 0 0 f2 0 95 
73 6 0 0 d8 0 ae 
74 6 0 0 ec 0 99 
74 6 0 0 f1 0 94 
75 6 0 0 d6 0 ae 
76 6 0 0 d5 0 ae 
77 6 0 0 ef 0 93 
78 6 0 0 f2 0 8f 
78 6 0 0 d8 0 a9 
79 6 0 0 ec 0 94 
7a 6 0 0 f1 0 8e 
7b 6 0 0 ec 0 92 
7c 6 0 0 ec 0 91 
7c 6 0 0 d7 0 a6 
7d 6 0 0 ed 0 8f 
7e 6 0 0 d9 0 a2 
7f 6 0 0 d6 0 a4 
7f 6 0 0 ea 0 90 
81 6 0 0 d7 0 a1 
82 6 0 0 d8 0 9f 
83 6 0 0 d5 0 a1 
83 6 0 0 e8 0 8e 
84 6 0 0 d5 0 a0 
85 6 0 0 d6 0 9e 
86 7 0 0 18 0 5a 
87 6 0 0 ec 0 86 
87 6 0 0 d3 0 9f 
88 6 0 0 4e 0 23 
89 6 0 0 d2 0 9e 
8a 6 0 0 f1 0 7e 
8b c 0 0 d2 0 96 
8b 6 0 0 ec 0 82 
8c 6 0 0 ec 0 81 
8d 6 0 0 d5 0 97 
8e 6 0 0 d6 0 95 
8e 6 0 0 d6 0 95 
8f 6 0 0 d2 0 98 
90 6 0 0 f2 0 77 
91 6 0 0 d6 0 92 
92 6 0 0 d6 0 91 
92 6 0 0 d5 0 92 
93 6 0 0 ec 0 7a 
94 6 0 0 d8 0 8d 
95 6 0 0 ec 0 78 
96 6 0 0 d6 0 8d 
96 6 0 0 d6 0 8d 
97 6 0 0 f1 0 71 
98 6 0 0 d6 0 8b 
99 6 0 0 ec 0 74 
9a 6 0 0 f4 0 6b 
9b 6 0 0 d5 0 89 
9c 6 0 0 f2 0 6b 
9d 6 0 0 ed 0 6f 
9d 6 0 0 ec 0 70 
9e 6 0 0 d8 0 83 
9f 6 0 0 d8 0 82 
a0 6 0 0 ed 0 6c 
a1 6 0 0 ee 0 6a 
a1 6 0 0 e9 0 6f 
a2 6 0 0 f2 0 65 
a3 6 0 0 e9 0 6d 
a4 6 0 0 ea 0 6b 
a4 6 0 0 ec 0 69 
a5 6 0 0 d6 0 7e 
a7 6 0 0 ec 0 66 
a8 6 0 0 d8 0 79 
a8 6 0 0 d6 0 7b 
a9 6 0 0 ed 0 63 
aa 6 0 0 d8 0 77 
ab 6 0 0 d8 0 76 
ac 6 0 0 d6 0 77 
ac 6 0 0 ec 0 61 
ad 6 0 0 ec 0 60 
ae 6 0 0 d6 0 75 
af 7 0 0 1a 0 2f 
b0 6 0 0 d5 0 74 
b0 6 0 0 f3 0 56 
b1 7 0 0 8a 0 bd 
b2 6 0 0 ed 0 5a 
b3 6 0 0 ec 0 5a 
b3 c 0 0 d4 0 6c 
b4 6 0 0 ef 0 56 
b5 6 0 0 d8 0 6c 
b6 6 0 0 f3 0 50 
b7 6 0 0 e8 0 5a 
b7 6 0 0 ec 0 56 
b8 6 0 0 d9 0 68 
b9 6 0 0 f4 0 4c 
ba 6 0 0 d6 0 69 
bb 6 0 0 d7 0 67 
bb 6 0 0 ec 0 52 
bc 6 0 0 d6 0 67 
bd 6 0 0 d6 0 66 
be 6 0 0 d6 0 65 
bf 6 0 0 d7 0 63 
bf 6 0 0 f2 0 48 
c0 6 0 0 d6 0 63 
c1 6 0 0 d5 0 63 
c2 6 0 0 ee 0 49 
c2 6 0 0 ed 0 4a 
c3 6 0 0 d8 0 5e 
c4 6 0 0 f0 0 45 
c5 6 0 0 ee 0 46 
c6 6 0 0 ec 0 47 
c6 6 0 0 d5 0 5e 
c7 6 0 0 d6 0 5c 
c8 6 0 0 ec 0 45 
c9 6 0 0 f4 0 3c 
ca 6 0 0 ec 0 43 
ca 6 0 0 d7 0 58 
cb 6 0 0 ef 0 3f 
cc 6 0 0 d6 0 57
